tail: top 25,000 uncoded strings, covering 492,040 education rows
[cip_llm] firing 50,000 units across ['local5080', 'fw4b', 'fwmoe']
  [pool] 3,300 done  8.42 item/s  ~92 min left  (failed=0)
  [pool] 3,325 done  8.42 item/s  ~92 min left  (failed=0)
  [pool] 3,350 done  8.41 item/s  ~92 min left  (failed=0)
  [pool] 3,375 done  8.40 item/s  ~92 min left  (failed=0)
  [pool] 3,400 done  8.41 item/s  ~92 min left  (failed=0)
  [pool] 3,425 done  8.41 item/s  ~92 min left  (failed=0)
  [pool] 3,450 done  8.41 item/s  ~92 min left  (failed=0)
  [pool] 3,475 done  8.41 item/s  ~92 min left  (failed=0)
  [pool] 3,500 done  8.40 item/s  ~92 min left  (failed=0)
  [pool] 3,525 done  8.39 item/s  ~92 min left  (failed=0)
  [pool] 3,550 done  8.38 item/s  ~92 min left  (failed=0)
  [pool] 3,575 done  8.37 item/s  ~92 min left  (failed=0)
  [pool] 3,600 done  8.38 item/s  ~92 min left  (failed=0)
  [pool] 3,625 done  8.37 item/s  ~92 min left  (failed=0)
  [pool] 3,650 done  8.37 item/s  ~92 min left  (failed=0)
  [pool] 3,675 done  8.38 item/s  ~92 min left  (failed=0)
  [pool] 3,700 done  8.37 item/s  ~92 min left  (failed=0)
  [pool] 3,725 done  8.37 item/s  ~92 min left  (failed=0)
  [pool] 3,750 done  8.35 item/s  ~92 min left  (failed=0)
  [pool] 3,775 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,800 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,825 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,850 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,875 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,900 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,925 done  8.34 item/s  ~92 min left  (failed=0)
  [pool] 3,950 done  8.35 item/s  ~92 min left  (failed=0)
  [pool] 3,975 done  8.35 item/s  ~92 min left  (failed=0)
  [pool] 4,000 done  8.35 item/s  ~92 min left  (failed=0)
  [pool] 4,025 done  8.35 item/s  ~92 min left  (failed=0)
  [pool] 4,050 done  8.36 item/s  ~92 min left  (failed=0)
  [pool] 4,075 done  8.36 item/s  ~92 min left  (failed=0)
  [pool] 4,100 done  8.36 item/s  ~92 min left  (failed=0)
  [pool] 4,125 done  8.37 item/s  ~91 min left  (failed=0)
